2001 2001
0 1 -0.0040000000
0 0 0.0040100000
1 0 -0.0040000000
1 2 -0.0040000000
1 1 0.0080100000
2 1 -0.0040000000
2 3 -0.0040000000
2 2 0.0080100000
3 2 -0.0040000000
3 4 -0.0040000000
3 3 0.0080100000
4 3 -0.0040000000
4 5 -222.1095650260
4 4 222.1135750260
5 4 -222.1095650260
5 6 -0.0040000000
5 5 222.1135750260
6 5 -0.0040000000
6 7 -0.0040000000
6 6 0.0080100000
7 6 -0.0040000000
7 8 -0.0040000000
7 7 0.0080100000
8 7 -0.0040000000
8 9 -222.1095650260
8 8 222.1135750260
9 8 -222.1095650260
9 10 -0.0040000000
9 9 222.1135750260
10 9 -0.0040000000
10 11 -0.0040000000
10 10 0.0080100000
11 10 -0.0040000000
11 12 -0.0040000000
11 11 0.0080100000
12 11 -0.0040000000
12 13 -222.1095650260
12 12 222.1135750260
13 12 -222.1095650260
13 14 -0.0040000000
13 13 222.1135750260
14 13 -0.0040000000
14 15 -0.0040000000
14 14 0.0080100000
15 14 -0.0040000000
15 16 -0.0040000000
15 15 0.0080100000
16 15 -0.0040000000
16 17 -222.1095650260
16 16 222.1135750260
17 16 -222.1095650260
17 18 -0.0040000000
17 17 222.1135750260
18 17 -0.0040000000
18 19 -0.0040000000
18 18 0.0080100000
19 18 -0.0040000000
19 20 -0.0040000000
19 19 0.0080100000
20 19 -0.0040000000
20 21 -222.1095650260
20 20 222.1135750260
21 20 -222.1095650260
21 22 -0.0040000000
21 21 222.1135750260
22 21 -0.0040000000
22 23 -0.0040000000
22 22 0.0080100000
23 22 -0.0040000000
23 24 -0.0040000000
23 23 0.0080100000
24 23 -0.0040000000
24 25 -222.1095650260
24 24 222.1135750260
25 24 -222.1095650260
25 26 -0.0040000000
25 25 222.1135750260
26 25 -0.0040000000
26 27 -0.0040000000
26 26 0.0080100000
27 26 -0.0040000000
27 28 -0.0040000000
27 27 0.0080100000
28 27 -0.0040000000
28 29 -222.1095650260
28 28 222.1135750260
29 28 -222.1095650260
29 30 -0.0040000000
29 29 222.1135750260
30 29 -0.0040000000
30 31 -0.0040000000
30 30 0.0080100000
31 30 -0.0040000000
31 32 -0.0040000000
31 31 0.0080100000
32 31 -0.0040000000
32 33 -222.1095650260
32 32 222.1135750260
33 32 -222.1095650260
33 34 -0.0040000000
33 33 222.1135750260
34 33 -0.0040000000
34 35 -0.0040000000
34 34 0.0080100000
35 34 -0.0040000000
35 36 -0.0040000000
35 35 0.0080100000
36 35 -0.0040000000
36 37 -222.1095650260
36 36 222.1135750260
37 36 -222.1095650260
37 38 -0.0040000000
37 37 222.1135750260
38 37 -0.0040000000
38 39 -0.0040000000
38 38 0.0080100000
39 38 -0.0040000000
39 40 -0.0040000000
39 39 0.0080100000
40 39 -0.0040000000
40 41 -222.1095650260
40 40 222.1135750260
41 40 -222.1095650260
41 42 -0.0040000000
41 41 222.1135750260
42 41 -0.0040000000
